ISO,Country,popcover,oopexp,PrimSerCov,PrevSerCov,Ypopcover,Yoopexp,YPrimSerCov,YPrevSerCov
OECD,OECD,98.0184210526316,73.9821052631579,70.9567692189368,2.6,2019,2019,2019,2019
AUS,Australia,100,66.605,82.7701366043457,,2019,2019,2019,2019
AUT,Austria,99.9,75.233,85.9584961908849,0.3,2019,2019,2019,2019
BEL,Belgium,98.6,76.807,92.1752119804706,1.8,2019,2019,2019,2019
CAN,Canada,100,70.167,78.390306602936,,2019,2019,2019,2019
CHL,Chile,95.7,60.602,39.3620256191396,,2019,2019,2019,2019
COL,Colombia,94.7,77.529,47.2883799608617,,2019,2019,2019,2019
CRI,Costa Rica,91.1,73.938,62.9985081725376,,2019,2019,2019,2019
CZE,Czech Republic,100,81.801,74.9061785636323,0.5,2019,2019,2019,2019
DNK,Denmark,100,83.29,88.6094056337354,1.8,2019,2019,2019,2019
EST,Estonia,95,74.493,60.9855842457023,15.5,2019,2019,2019,2019
FIN,Finland,100,77.822,85.2398062723457,4.7,2019,2019,2019,2019
FRA,France,99.9,83.708,70.9141552469325,1.2,2019,2019,2019,2019
DEU,Germany,100,84.603,85.3444725772568,0.3,2019,2019,2019,2019
GRC,Greece,100,59.758,37.5764366159053,8.1,2019,2019,2019,2019
HUN,Hungary,94,68.326,61.8092860382414,1,2019,2019,2019,2019
ISL,Iceland,100,82.889,80.5227376968162,3.4,2019,2019,2019,2019
IRL,Ireland,100,74.578,65.6289843686921,2,2019,2019,2019,2019
ISR,Israel,100,64.78,72.2034993217976,,2019,2019,2019,2019
ITA,Italy,100,73.754,60.7546994910461,1.8,2019,2019,2019,2019
JPN,Japan,100,83.771,73.294469044209,,2019,2019,2019,2019
KOR,Korea,100,60.981,71.3646842421207,,2019,2019,2019,2019
LVA,Latvia,100,60.827,,4.3,2019,2019,2019,2019
LTU,Lithuania,98.7,66.382,50.670450364269,1.4,2019,2019,2019,2019
LUX,Luxembourg,100,84.958,85.4791103434709,0.2,2019,2019,2019,2019
MEX,Mexico,80.6,49.308,48.2848321108789,,2019,2019,2019,2019
NLD,Netherlands,99.9,82.641,92.0215682578149,0.2,2019,2019,2019,2019
NZL,New Zealand,100,79.223,77.4522863976157,,2019,2019,2019,2019
NOR,Norway,100,85.82,92.5408774642738,0.8,2019,2019,2019,2019
POL,Poland,93.4,71.777,26.3813217430736,4.2,2019,2019,2019,2019
PRT,Portugal,100,60.976,67.0924161329186,1.7,2019,2019,2019,2019
SVK,Slovak Republic,94.6,79.794,58.3373541429194,2.7,2019,2019,2019,2019
SVN,Slovenia,100,72.785,85.4933623451311,2.9,2019,2019,2019,2019
ESP,Spain,100,70.619,69.9903962100954,0.2,2019,2019,2019,2019
SWE,Sweden,100,84.885,81.5377743478298,1.4,2019,2019,2019,2019
CHE,Switzerland,100,66.764,91.3332821427008,0.7,2019,2019,2019,2019
TUR,Turkey,98.8,77.918,62.3509604977116,3,2019,2019,2019,2019
GBR,United Kingdom,100,78.513,75.4629841658673,4.5,2019,2019,2019,2019
USA,United States,89.8,82.695,82.8740199444829,,2019,2019,2019,2019
