ISO,Country,excessDeaths,covidDeath,covidCases,vacRates,YexcessDeaths,YcovidDeath,YcovidCases,YvacRates
OECD,OCDE,1498.588,1285.12229081113,8392.32440627621,59.9960526315789,2021,2021,2021,2021
AUS,Australie,210.557845348376,35.6864410465288,436.833411104938,45.63,2021,2021,2021,2021
AUT,Autriche,1270.16275807027,1180.19598555858,8368.46022003662,60.13,2021,2021,2021,2021
BEL,Belgique,1373.87567216666,2186.42926324633,10867.003863765,72.56,2021,2021,2021,2021
CAN,Canada,1124.94895297055,698.635215788011,4346.8792734872,71.22,2021,2021,2021,2021
CHL,Chili,2137.53155764305,1739.3092950595,8669.37581609408,73.73,2021,2021,2021,2021
COL,Colombie,2322.81251982494,2151.33245985035,9754.24859958803,33.56,2021,2021,2021,2021
CRI,Costa Rica,,927.737384754248,10559.5595230103,42.6,2021,2021,2021,2021
CZE,République tchèque,3464.57932853366,2837.86918926693,15841.7492375821,55.69,2021,2021,2021,2021
DNK,Danemark,195.027687027618,435.703805907951,6189.69035834019,75.27,2021,2021,2021,2021
EST,Estonie,1396.11249563573,955.622975885193,11956.1978545888,53.53,2021,2021,2021,2021
FIN,Finlande,342.714918958129,176.280276227935,2572.06315973889,63.38,2021,2021,2021,2021
FRA,France,1374.13997602147,1651.65839634264,10438.259734639,66.11,2021,2021,2021,2021
DEU,Allemagne,925.192292382463,1094.56053877134,5116.6962704585,64.15,2021,2021,2021,2021
GRC,Grèce,1401.71748736888,1188.31205483197,6169.74380432455,59.4,2021,2021,2021,2021
HUN,Hongrie,2423.8023420993,3070.36390506561,8443.35743617449,58.66,2021,2021,2021,2021
ISL,Islande,188.392185294423,82.387253044209,3283.95590634217,80.53,2021,2021,2021,2021
IRL,Irlande,,1007.16294284955,7928.91041084191,74.15,2021,2021,2021,2021
ISR,Israël,765.729143909085,742.645664782825,14924.6361377065,64.36,2021,2021,2021,2021
ITA,Italie,2150.83500264111,2140.271885906,7850.29709520326,68.27,2021,2021,2021,2021
JPN,Japon,787.030262975897,117.349902382624,1347.35193169309,61.22,2021,2021,2021,2021
KOR,Corée,51.8674151682893,39.5559258278019,623.721661412081,52.67,2021,2021,2021,2021
LVA,Lettonie,1209.11580851036,1325.17331306433,8473.19380921803,46.38,2021,2021,2021,2021
LTU,Lituanie,1927.56854646772,1572.96293247533,12171.4046433723,60.26,2021,2021,2021,2021
LUX,Luxembourg,878.762130495058,1306.48386540341,12509.9823033726,62.94,2021,2021,2021,2021
MEX,Mexique,4456.02212495998,1812.48747554471,2857.49114501573,35.36,2021,2021,2021,2021
NLD,Pays-Bas,1383.51184268237,1019.95767936793,11535.0635944044,67.58,2021,2021,2021,2021
NZL,Nouvelle-Zélande,213.718416343632,5.3916930185663,90.8707646436827,41.53,2021,2021,2021,2021
NOR,Norvège,-277.480726882505,147.925135722244,3549.6443462417,67.04,2021,2021,2021,2021
POL,Pologne,3662.55057084201,1978.1001902675,7670.42103066278,51.67,2021,2021,2021,2021
PRT,Portugal,2024.88192154767,1662.50498134745,10405.1716074802,85.21,2021,2021,2021,2021
SVK,République slovaque,3132.79550476898,2292.83458959195,14827.8276170955,41.42,2021,2021,2021,2021
SVN,Slovénie,2319.81033093321,2267.80306518419,14173.7453008573,48.34,2021,2021,2021,2021
ESP,Espagne,1840.65895874671,1709.89922508822,10490.4390025871,78.61,2021,2021,2021,2021
SWE,Suède,545.103024529733,1420.17657751485,11177.303821831,64.23,2021,2021,2021,2021
CHE,Suisse,1068.55272342088,1197.41581283734,9809.50224104416,58.41,2021,2021,2021,2021
TUR,Turquie,,600.372819447038,8671.65685785546,52.94,2021,2021,2021,2021
GBR,Royaume-Uni,1599.224,2232.03505419927,11608.4277160534,65.96,2021,2021,2021,2021
USA,États-Unis,2558.738,1824.0518783525,13197.1899306292,55.15,2021,2021,2021,2021
